date_id, file_name, date
234,WEBPXTICK_DT-20120626.gz,20120626
235,WEBPXTICK_DT-20120625.gz,20120625
236,WEBPXTICK_DT-20120622.gz,20120622
237,WEBPXTICK_DT-20120621.gz,20120621
238,WEBPXTICK_DT-20120620.gz,20120620
239,WEBPXTICK_DT-20120619.gz,20120619
240,WEBPXTICK_DT-20120618.gz,20120618
241,WEBPXTICK_DT-20120615.gz,20120615
242,WEBPXTICK_DT-20120614.gz,20120614
243,WEBPXTICK_DT-20120613.gz,20120613
244,WEBPXTICK_DT-20120612.gz,20120612
245,WEBPXTICK_DT-20120611.gz,20120611
246,WEBPXTICK_DT-20120608.gz,20120608
247,WEBPXTICK_DT-20120607.gz,20120607
248,WEBPXTICK_DT-20120606.gz,20120606
249,WEBPXTICK_DT-20120605.gz,20120605
250,WEBPXTICK_DT-20120604.gz,20120604
251,WEBPXTICK_DT-20120601.gz,20120601
252,WEBPXTICK_DT-20120531.gz,20120531
253,WEBPXTICK_DT-20120530.gz,20120530
254,WEBPXTICK_DT-20120529.gz,20120529
255,WEBPXTICK_DT-20120528.gz,20120528
256,WEBPXTICK_DT-20120525.gz,20120525
257,WEBPXTICK_DT-20120524.gz,20120524
258,WEBPXTICK_DT-20120523.gz,20120523
259,WEBPXTICK_DT-20120522.gz,20120522
260,WEBPXTICK_DT-20120521.gz,20120521
261,WEBPXTICK_DT-20120518.gz,20120518
262,WEBPXTICK_DT-20120517.gz,20120517
263,WEBPXTICK_DT-20120516.gz,20120516
264,WEBPXTICK_DT-20120515.gz,20120515
265,WEBPXTICK_DT-20120514.gz,20120514
266,WEBPXTICK_DT-20120511.gz,20120511
267,WEBPXTICK_DT-20120510.gz,20120510
268,WEBPXTICK_DT-20120509.gz,20120509
269,WEBPXTICK_DT-20120508.gz,20120508
270,WEBPXTICK_DT-20120507.gz,20120507
271,WEBPXTICK_DT-20120504.gz,20120504
272,WEBPXTICK_DT-20120503.gz,20120503
273,WEBPXTICK_DT-20120502.gz,20120502
274,WEBPXTICK_DT-20120501.gz,20120501
